19;Sporting Kansas City;FC Dallas;Children's Mercy Park;MLS-MAT-00060V;en es
19;Los Angeles FC;Toronto FC;BMO Stadium;MLS-MAT-00060M;en es
19;Minnesota United FC;San Diego FC;Allianz Field;MLS-MAT-00060W;en es
19;New England Revolution;FC Cincinnati;Gillette Stadium;MLS-MAT-00060Q;en
19;New York City FC;Atlanta United FC;Yankee Stadium;MLS-MAT-00060L;en es
19;Philadelphia Union;Charlotte FC;Subaru Park;MLS-MAT-00060R;en
19;Portland Timbers;San Jose Earthquakes;Providence Park;MLS-MAT-00060N;en es
19;Real Salt Lake;D.C. United;America First Field;MLS-MAT-00060Y;en es
19;St. Louis City SC;LA Galaxy;Energizer Park;MLS-MAT-00060O;en es
20;Chicago Fire FC;Philadelphia Union;Soldier Field;MLS-MAT-000613;en es
20;Colorado Rapids;LA Galaxy;Dick's Sporting Goods Park;MLS-MAT-000618;en es
20;Columbus Crew Sc;Atlanta United FC;Lower.com Field;MLS-MAT-00060Z;en
20;FC Dallas;San Jose Earthquakes;Toyota Stadium;MLS-MAT-000614;en
20;Sporting Kansas City;Charlotte FC;Children's Mercy Park;MLS-MAT-000615;en es
20;Minnesota United FC;Houston Dynamo FC;Allianz Field;MLS-MAT-000616;en es
20;Montreal Impact;FC Cincinnati;Saputo Stadium;MLS-MAT-000610;en fr
20;New England Revolution;Nashville SC;Gillette Stadium;MLS-MAT-000611;en
20;Real Salt Lake;Los Angeles FC;America First Field;MLS-MAT-000619;en es
20;St. Louis City SC;Orlando City SC;Energizer Park;MLS-MAT-000617;en es
20;Toronto FC;New York Red Bulls;BMO Field;MLS-MAT-000612;en
20;Vancouver Whitecaps FC;San Diego FC;BC Place;MLS-MAT-00061A;en
21;Chicago Fire FC;Charlotte FC;Soldier Field;MLS-MAT-00061I;en es
21;Columbus Crew Sc;Philadelphia Union;Lower.com Field;MLS-MAT-00061P;en
21;D.C. United;Nashville SC;Audi Field;MLS-MAT-00061B;en es
21;FC Dallas;San Diego FC;Toyota Stadium;MLS-MAT-00061J;en
21;Sporting Kansas City;Real Salt Lake;Children's Mercy Park;MLS-MAT-00061K;en es
21;Los Angeles FC;Vancouver Whitecaps FC;BMO Stadium;MLS-MAT-00061M;en es
21;Inter Miami CF;Atlanta United FC;Chase Stadium;MLS-MAT-00061C;en es
21;Montreal Impact;New York City FC;Saputo Stadium;MLS-MAT-00061D;en fr
21;New England Revolution;Colorado Rapids;Gillette Stadium;MLS-MAT-00061E;en
21;New York Red Bulls;Minnesota United FC;Sports Illustrated Stadium;MLS-MAT-00061F;en es
21;Orlando City SC;FC Cincinnati;Inter&Co Stadium;MLS-MAT-00061G;en
21;San Jose Earthquakes;LA Galaxy;Stanford Stadium;MLS-MAT-00061N;en es
